"","df.Sighting","df.Date","df.Year","df.Group","df.Location","df.lat","df.lon","df.Species","u.valid_name","u.kingdom","u.phylum","u.order","u.family","u.genus"
"1598","2020S0008","2020-06-02","2020","Dinoflagellates","Tolo Harbour including Yim Tin Tsai and Yim Tin Tsai (East) fish culture zones",22.4506380184,114.241766841989,"Scrippsiella trochoidea",NA,NA,NA,NA,NA,NA
"1697","2022S0015","2022-03-14","2022","Others","Deep Bay",22.4710355370151,113.975175292198,"Heterosigma akashiwo","Heterosigma akashiwo virus 01","Viruses",NA,NA,"Phycodnaviridae","Raphidovirus"
"1704","2022S0022","2022-03-20","2022","Others","Cafeteria New Beach, Tuen Mun",22.373558419028,113.985750791327,"Heterosigma akashiwo","Heterosigma akashiwo virus 01","Viruses",NA,NA,"Phycodnaviridae","Raphidovirus"
"1705","2022S0021","2022-03-20","2022","Others","Golden Beach, Tuen Mun",22.3714177999744,113.987987558011,"Heterosigma akashiwo","Heterosigma akashiwo virus 01","Viruses",NA,NA,"Phycodnaviridae","Raphidovirus"
"1706","2022S0023","2022-03-20","2022","Others","Cafeteria Old Beach, Tuen Mun",22.3744709938669,113.984647108161,"Heterosigma akashiwo","Heterosigma akashiwo virus 01","Viruses",NA,NA,"Phycodnaviridae","Raphidovirus"
"1717","2022S0033","2022-04-11","2022","Dinoflagellates","Shek O Beach, Hong Kong Island",22.2288237941217,114.251825973932,"Scrippsiella trochoidea",NA,NA,NA,NA,NA,NA
"1720","2022S0034","2022-04-11","2022","Dinoflagellates","Big Wave Bay Beach, Hong Kong Island",22.2457507905427,114.248501707014,"Scrippsiella trochoidea",NA,NA,NA,NA,NA,NA
"1764","2023S0031","2023-05-11","2023","Others","Tolo Harbor including Yim Tin Tsai and Yim Tin Tsai (East) Fish Culture Zone",22.4452949650353,114.234925188087,"Heterosigma akashiwo","Heterosigma akashiwo virus 01","Viruses",NA,NA,"Phycodnaviridae","Raphidovirus"
"1771","2023S0037","2023-07-24","2023","Dinoflagellates","Silver Mine Bay Beach, Lantau Island",22.2706519552257,114.000916168529,"Scrippsiella trochoidea",NA,NA,NA,NA,NA,NA
"1773","2023S0039","2023-08-28","2023","Dinoflagellates","Shek O Beach, Hong Kong Island",22.227939338949,114.251151627674,"Levanderina fissa","Levanderina fissa","Chromista","Myzozoa","Dinophyceae incertae sedis",NA,"Levanderina"
"1774","2023S0040","2023-09-12","2023","Others","Tolo Harbour Including Yim Tin Tsai and Yim Tin Tsai (East) Fish Culture Zone",22.4464173672829,114.231933702226,"Heterosigma akashiwo","Heterosigma akashiwo virus 01","Viruses",NA,NA,"Phycodnaviridae","Raphidovirus"
